,Words,Frequency
0,foodfunkfusion,10
1,sizzlers,1
2,chinesefood,1
3,fries,1
4,foodies,12
5,foodporn,17
6,food,27
7,foodphotography,12
8,streetfood,12
9,foodblogger,12
10,cooking,6
11,instafood,14
12,foodstagram,14
13,yummy,19
14,instadaily,9
15,instamood,8
16,blogger,7
17,mumbaikar,10
18,foodgasm,18
19,italianfood,8
20,picoftheday,8
21,bloggers,6
22,foodstylist,6
23,moretocome,5
24,instadailyphoto,4
25,foodie,5
26,instalove,4
27,paneer,1
28,k,1
29,vocalforlocal,2
30,6k,1
31,6kfollowers,1
32,6kfam,1
33,6kinstafollowers,1
34,milestones,1
35,collaboration,2
36,cake,2
37,chocolate,2
38,foodbloggers,12
39,cakesofinstagram,2
40,dessert,1
41,cakestagram,2
42,blog,6
43,cakelover,1
44,instamilestone,1
45,foodblog,1
46,mumbaibasedbaker,1
47,mumbaiindians,1
48,mumbaicakes,1
49,mumbaieats,1
50,mumbaifoodie,4
51,cakedecorating,1
52,cakeart,1
53,gratitude,1
54,cakecakecake,1
55,cakesofig,1
56,desserts,1
57,fridayvibes,1
58,sweettooth,1
59,dessertporn,1
60,pudding,1
61,dosa,1
62,homemade,4
63,cheesy,3
64,brunch,2
65,breakfast,1
66,wednesdayb,1
67,sundayfunday,1
68,latte,1
69,weekend,2
70,aashirvadayurveda,1
71,hairoil,1
72,pamperyourself,1
73,collab,2
74,productreviewer,2
75,instafamous,4
76,bloggersofinstagram,2
77,bloggersmail,2
78,lifestyleblogger,6
79,indianinfluencer,2
80,indianblogger,2
81,productreview,2
82,influencer,2
83,instagood,2
84,bloggerstyle,5
85,bloggerinsta,2
86,ayurvedic,1
87,indianbloggers,1
88,reviewer,2
89,bruschetta,1
90,cheese,1
91,foodblogge,1
92,quarantine,2
93,foodblogfeed,2
94,delicious,8
95,likeforlikes,2
96,followforfollowback,2
97,thingstodoinmumbai,2
98,organic,2
99,healthylifestyle,2
100,healthyliving,2
101,reeltoreel,1
102,reelitin,2
103,anuvjain,1
104,reellife,1
105,reelitfeelit,1
106,coconut,1
107,vegan,1
108,reelkarofeelkaro,3
109,reelkarofeelkaroindia,1
110,celebrateindia,1
111,myindiagram,1
112,feelitreelit,3
113,feelkaroreelkaro,3
114,firstreel,1
115,reelsinstagram,1
116,reelsindia,1
117,foodtalkindia,1
118,indianfoodblogger,1
119,plantonorganic,1
120,bloggerlife,1
121,influencerstyle,1
122,pasta,1
123,feelkarotoreelkaro,2
124,reel,2
125,sushi,1
126,dimsum,1
127,yum,2
128,foodiesince96,10
129,Foodtalkindia,6
130,delhigram,6
131,feedfeed,6
132,buzzfeast,6
133,frenchfood,4
134,indianfood,5
135,luxury,3
136,newdelhi,6
137,ilovefood,6
138,foodbeast,4
139,nomnom,6
140,hungry,7
141,eeeeeats,7
142,gurgaon,6
143,delhifoodie,6
144,foodoftheday,6
145,delhi_igers,6
146,thingstodoindelhi,1
147,eatingforinsta,1
148,instafoodie,1
149,india,1
150,chefmode,1
151,foodgasms,1
152,homecookedfood,1
153,eatlocal,1
154,eatfamous,1
155,indianfestival,1
156,like4like,1
157,comment4comment,1
158,delhifoodbloggers,1
159,indianfoodbloggers,1
160,forkyeah,1
161,feastgram,1
162,followme,1
163,localforvocal,1
164,babakadhaba,1
165,baba,1
166,oldcouple,1
167,help,2
168,supportsmallbusiness,1
169,supportlocal,1
170,supportblackbusiness,1
171,kind,1
172,therawtextures,1
173,mumbaifood,3
174,foodpics,1
175,noodles,1
176,noodleslove,1
177,soya,1
178,tasty,11
179,foodlovers,10
180,biryani,20
181,biryanilove,10
182,rice,10
183,southindianfoods,10
184,spicy,10
185,icecream,10
186,fishfry,10
187,muttonbiryani,10
188,friedrice,10
189,fastfood,10
190,tamilnadufoods,10
191,indianfoods,10
192,chennaifoods,10
193,foodblogging,10
194,chickenbiryani,10
195,veg,10
196,nonveg,10
197,love,10
198,deliciousfood,10
199,tandoori,10
200,grillchickens,10
201,போடுதகிடதகிட,1
202,WorldEggDay,1
203,TalkRecipe,1
204,ARAKUTasteTest,2
205,arakucoffee,2
206,specialitycoffee,2
207,tastetest,2
208,makeyourpick,2
209,coffee,2
210,coffeelover,2
211,coffeelove,2
212,coffeelife,2
213,coffeeconnoisseurs,2
214,coffeeofinstagram,2
215,IGLoveRunsDeep,1
216,VocalForLocal,1
217,dilsefoodie,8
218,Love_Guru,1
219,FullOnTaiyari,1
220,FullOn,1
221,TheBigblllionDays,1
222,Flipkart📲,1
